sep=,
Sitecore.Marketing.Taxonomy.xMgmt.dll,13.1.0.0,13.1.0.0
Sitecore.Marketing.xMgmt.dll,13.1.0.0,13.1.0.0
Sitecore.Marketing.xMgmt.ReferenceData.dll,13.1.0.0,13.1.0.0
Sitecore.Messaging.Azure.dll,2.0.0.0,2.0.0.0
Sitecore.Messaging.dll,2.0.0.0,2.0.0.0
Sitecore.Messaging.GatewayClient.dll,2.0.0.0,2.0.0.0
Sitecore.Messaging.GatewayClient.Rest.dll,2.0.0.0,2.0.0.0
Sitecore.Messaging.GatewayService.dll,2.0.0.0,2.0.0.0
Sitecore.Messaging.SqlServer.dll,2.0.0.0,2.0.0.0
Sitecore.Mvc.Analytics.dll,12.0.0.0,12.0.0.0
Sitecore.Mvc.DeviceSimulator.dll,3.0.0.0,3.0.0.0
Sitecore.Mvc.dll,3.0.0.0,3.0.0.0
Sitecore.Mvc.ExperienceEditor.dll,4.0.0.0,4.0.0.0
Sitecore.Nexus.Consumption.dll,1.0.0.0,1.0.0.0
Sitecore.Nexus.dll,3.0.0.0,3.0.0.0
Sitecore.Nexus.Licensing.dll,2.0.5.0,2.0.0.0
Sitecore.NVelocity.dll,9.0.0.0,9.0.0.0
Sitecore.Owin.Authentication.dll,2.0.0.0,2.0.0.0
Sitecore.Owin.Authentication.IdentityServer.dll,1.0.0.0,1.0.0.0
Sitecore.Owin.dll,2.0.0.0,2.0.0.0
Sitecore.PathAnalyzer.Client.dll,4.0.0.0,4.0.0.0
Sitecore.PathAnalyzer.dll,4.0.0.0,4.0.0.0
Sitecore.PathAnalyzer.Services.dll,4.0.0.0,4.0.0.0
Sitecore.Processing.Common.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Cursors.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Engine.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Tasks.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Tasks.Messaging.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Tasks.Messaging.Xmgmt.dll,1.0.0.0,1.0.0.0
Sitecore.Processing.Tasks.Options.dll,1.0.0.0,1.0.0.0
Sitecore.Publishing.WebDeploy.dll,12.0.0.0,12.0.0.0
Sitecore.Reporting.Client.dll,1.0.0.0,1.0.0.0
Sitecore.Reporting.Core.dll,1.0.0.0,1.0.0.0
Sitecore.Reporting.Service.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Reporting.Service.Http.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.Reporting.Service.Http.XConnectClient.dll,1.0.0.0,1.0.0.0
Sitecore.Security.AntiCsrf.dll,3.0.0.0,3.0.0.0
Sitecore.SequenceAnalyzer.dll,4.0.0.0,4.0.0.0
Sitecore.Services.Client.dll,3.0.0.0,3.0.0.0
Sitecore.Services.Core.dll,3.0.0.0,3.0.0.0
Sitecore.Services.Infrastructure.dll,3.0.0.0,3.0.0.0
Sitecore.Services.Infrastructure.Sitecore.dll,3.0.0.0,3.0.0.0
Sitecore.SessionProvider.dll,12.0.0.0,12.0.0.0
Sitecore.SessionProvider.Memory.dll,12.0.0.0,12.0.0.0
Sitecore.SessionProvider.MongoDB.dll,12.0.0.0,12.0.0.0
Sitecore.SessionProvider.Redis.dll,12.0.0.0,12.0.0.0
Sitecore.SessionProvider.Sql.dll,12.0.0.0,12.0.0.0
Sitecore.Speak.Applications.dll,3.0.0.0,3.0.0.0
Sitecore.Speak.Client.dll,4.0.0.0,4.0.0.0
Sitecore.Speak.Components.dll,4.0.0.0,4.0.0.0
Sitecore.Speak.Components.Guidance.dll,4.0.0.0,4.0.0.0
Sitecore.Speak.Components.Web.dll,4.0.0.0,4.0.0.0
Sitecore.Speak.Integration.Services.dll,2.0.0.0,2.0.0.0
