
Sitecore XConnect Server
Filename,FileVersion,Version
Sitecore.Framework.Configuration.Common.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.Extensions.dll,5.2.0.0,5.2.0.0
Sitecore.Nexus.Licensing.dll,2.0.5.0,2.0.0.0
Sitecore.XConnect.Collection.Model.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Configuration.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.DependencyInjection.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Diagnostics.ApplicationInsights.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Diagnostics.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Diagnostics.PerformanceCounters.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Logging.Serilog.AppInsights.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Logging.Serilog.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Search.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Collection.Data.MongoDb.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Collection.Data.SqlServer.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Collection.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Collection.Search.Azure.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Collection.Search.Solr.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Sql.Common.dll,3.0.0.0,3.0.0.0
Sitecore.Xdb.Sql.Common.Encryption.dll,3.0.0.0,3.0.0.0
SolrNet.dll,1.0.8.0,1.0.8.0
System.Buffers.dll,4.6.26515.6,4.0.3.0
System.ComponentModel.Annotations.dll,4.6.26515.6,4.2.1.0
System.Configuration.ConfigurationManager.dll,4.6.26515.6,4.0.1.0
System.Diagnostics.DiagnosticSource.dll,4.6.26515.6,4.0.3.0
System.Interactive.Async.dll,3.1.1.0,3.0.3000.0
System.Interactive.Async.Providers.dll,3.1.1.0,3.0.1000.0
System.Memory.dll,4.6.26606.5,4.0.1.0
System.Numerics.Vectors.dll,4.6.26515.6,4.1.4.0
System.Runtime.CompilerServices.Unsafe.dll,0.0.0.0,4.0.4.0
System.Runtime.InteropServices.RuntimeInformation.dll,4.6.24705.1,4.0.1.0
System.Security.AccessControl.dll,4.6.26515.6,4.1.1.0
System.Security.Cryptography.Xml.dll,4.6.26515.6,4.0.1.0
System.Security.Permissions.dll,4.6.26515.6,4.0.1.0
System.Security.Principal.Windows.dll,4.6.26515.6,4.1.1.0
System.ValueTuple.dll,4.6.26515.6,4.0.3.0
Newtonsoft.Json.dll,11.0.2.21924,11.0.0.0
Sitecore.XConnect.Diagnostics.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Diagnostics.PerformanceCounters.dll,2.0.0.0,2.0.0.0
Dapper.dll,1.50.4.0,1.50.4.0
Microsoft.ApplicationInsights.dll,2.5.1.172,2.5.1.0
Microsoft.AspNetCore.Hosting.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.Hosting.Server.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.Http.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.Http.Features.dll,2.1.1.18157,2.1.1.0
Microsoft.Azure.KeyVault.dll,2.3.2.0,2.0.0.0
Microsoft.Azure.KeyVault.WebKey.dll,2.0.7.0,2.0.0.0
Microsoft.DotNet.PlatformAbstractions.dll,2.1.0.0,2.1.0.0
Microsoft.Extensions.Configuration.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.Binder.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.CommandLine.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.EnvironmentVariables.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.FileExtensions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.Ini.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.Json.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.Xml.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.DependencyInjection.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.DependencyInjection.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.DependencyModel.dll,2.1.0.0,2.1.0.0
Microsoft.Extensions.FileProviders.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.FileProviders.Physical.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.FileSystemGlobbing.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Hosting.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Logging.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Logging.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Options.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Primitives.dll,2.1.1.18157,2.1.1.0
Microsoft.IdentityModel.Clients.ActiveDirectory.dll,3.19.50411.1851,3.19.3.10102
Microsoft.IdentityModel.Clients.ActiveDirectory.Platform.dll,3.19.50411.1851,3.19.3.10102
Microsoft.Rest.ClientRuntime.Azure.dll,3.3.7.0,3.0.0.0
